AM_encoded,AMC_encoded,AN_encoded,C_encoded,CF_encoded,CFO_encoded,CFT_encoded,CN_encoded,CPD_encoded,CPT_encoded,CTX_encoded,CZA_encoded,DO_encoded,ENR_encoded,FT_encoded,GM_encoded,IPM_encoded,MRB_encoded,N_encoded,PRA_encoded,SXT_encoded,TE_encoded
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
,2,0.0,0,2,0.0,0.0,2.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
,2,0.0,0,2,0.0,0.0,2.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,2,0,0,0.0,,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,2.0,0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0,0.0,0.0
0.0,0,2.0,0,2,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,2.0,0,2,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0,0,0,0.0,0.0,1,0.0,2.0
2.0,0,0.0,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,0,0,0,0.0,0.0,0,0.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,1.0,1,0,0,0.0,0.0,0,2.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,,,,0,,,0.0,,,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,0.0,,,0,,0.0,0.0,,,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,2.0,0,2,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,0.0,0,2,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,2.0,2.0
0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,2.0,0.0,1,0,0,0.0,0.0,0,0.0,2.0
,2,0.0,1,2,1.0,0.0,2.0,0,,,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,2.0
2.0,0,0.0,0,0,0.0,,0.0,0,0.0,0.0,0.0,,0.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,,,,0,0.0,,0.0,,,0,0,0,0.0,0.0,0,0.0,0.0
0.0,0,0.0,0,0,,,,0,,0.0,0.0,,,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,2,2.0,2.0,2.0,2,2.0,,0.0,,,0,0,0,0.0,0.0,0,2.0,0.0
2.0,0,0.0,0,0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,0.0
2.0,0,0.0,0,0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,0.0
